model,cv_threshold,cv_accuracy,cv_precision_bad,cv_recall_bad,cv_f1_bad,cv_roc_auc,cv_pr_auc,cv_specificity_good,cv_false_approvals,cv_false_rejections,cv_business_cost,cv_tn,cv_fp,cv_fn,cv_tp,test_threshold,test_accuracy,test_precision_bad,test_recall_bad,test_f1_bad,test_roc_auc,test_pr_auc,test_specificity_good,test_false_approvals,test_false_rejections,test_business_cost,test_tn,test_fp,test_fn,test_tp,selected,cost_recommended
Random Forest,0.29,0.8595286766691094,0.6346255974508762,0.8430335097001763,0.724132707165581,0.9315224323353201,0.8817767416362071,0.8641457274028731,890,2752,7202.0,17505,2752,890,4780,0.29,0.8639308855291576,0.6414994720168955,0.8568406205923836,0.7336956521739131,0.9372958431094683,0.8928575133575366,0.865916271721959,203,679,1694.0,4385,679,203,1215,True,True
CatBoost,0.39,0.8545917383422686,0.6251646903820817,0.8368606701940036,0.7156862745098039,0.9311384685625689,0.8790859460411367,0.8595547218245545,925,2845,7470.0,17412,2845,925,4745,0.39,0.8568343103980253,0.6285414480587618,0.844851904090268,0.7208182912154031,0.935957682426576,0.8879265731744894,0.8601895734597157,220,708,1808.0,4356,708,220,1198,False,False
XGBoost,0.16,0.8470706213599722,0.6095617529880478,0.8365079365079365,0.7052263772210244,0.9258422437463427,0.8713475589339535,0.8500271511082589,927,3038,7673.0,17219,3038,927,4743,0.16,0.8492749151496451,0.6137184115523465,0.8392101551480959,0.7089663389931486,0.9299940312658062,0.8784417666780484,0.8520932069510269,228,749,1889.0,4315,749,228,1190,False,False
Logistic Regression,0.5,0.8130520307015853,0.5505590367366998,0.790299823633157,0.6489970309218626,0.8739000057375599,0.7207634959502591,0.8194204472528015,1189,3658,9603.0,16599,3658,1189,4481,0.5,0.808701018204258,0.5428709055876686,0.7947813822284908,0.6451058958214081,0.8746288689541151,0.7087823728596231,0.8125987361769352,291,949,2404.0,4115,949,291,1127,False,False
